pcap,window_start,src,dst,flows_total,unique_dst_ports,syn_count,rst_count
benign.pcap,1769177900.0,172.64.41.5,192.168.1.135,1,1,0,0
benign.pcap,1769177900.0,178.215.158.212,192.168.1.135,1,1,0,0
benign.pcap,1769177900.0,192.168.1.130,94.131.14.39,1,1,0,0
benign.pcap,1769177900.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769177900.0,192.168.1.135,46.62.2.159,1,1,0,0
benign.pcap,1769177900.0,192.168.1.135,89.253.24.138,1,1,0,0
benign.pcap,1769177905.0,178.219.168.121,192.168.1.135,1,1,0,0
benign.pcap,1769177905.0,192.168.1.135,79.139.162.144,1,1,0,0
benign.pcap,1769177910.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769177910.0,192.168.1.135,192.168.1.255,1,1,0,0
benign.pcap,1769177910.0,192.168.1.135,4.207.247.138,1,1,0,0
benign.pcap,1769177910.0,192.168.1.135,52.168.117.175,1,1,2,1
benign.pcap,1769177915.0,162.159.200.1,192.168.1.135,1,1,0,0
benign.pcap,1769177915.0,185.26.182.94,192.168.1.135,1,1,0,0
benign.pcap,1769177915.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769177915.0,192.168.1.135,40.74.98.192,1,1,2,0
benign.pcap,1769177915.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769177915.0,192.168.1.135,5.165.35.223,1,1,0,0
benign.pcap,1769177920.0,192.168.1.1,192.168.1.255,2,2,0,0
benign.pcap,1769177920.0,192.168.1.1,239.255.255.250,1,1,0,0
benign.pcap,1769177920.0,192.168.1.135,45.95.201.54,1,1,0,0
benign.pcap,1769177920.0,192.168.1.135,64.233.162.188,1,1,0,0
benign.pcap,1769177925.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769177930.0,192.168.1.1,224.0.0.187,1,1,0,0
benign.pcap,1769177935.0,192.168.1.1,192.168.1.255,1,1,0,0
benign.pcap,1769177935.0,192.168.1.135,77.88.21.119,1,1,0,0
benign.pcap,1769177945.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769177945.0,192.168.1.135,239.255.255.250,1,1,0,0
benign.pcap,1769177950.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769177950.0,192.168.1.77,8.8.8.8,1,1,2,0
benign.pcap,1769177960.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769177965.0,192.168.1.135,64.233.162.188,1,1,0,0
benign.pcap,1769177970.0,142.250.185.131,192.168.1.135,1,1,3,0
benign.pcap,1769177970.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769177970.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769177975.0,162.159.200.123,192.168.1.135,1,1,0,0
benign.pcap,1769177975.0,192.168.1.1,192.168.1.135,1,1,0,0
benign.pcap,1769177975.0,192.168.1.135,45.95.201.54,1,1,0,0
benign.pcap,1769177980.0,185.26.182.94,192.168.1.135,1,1,0,1
benign.pcap,1769177980.0,192.168.1.135,77.88.21.119,1,1,0,0
benign.pcap,1769177985.0,142.250.185.131,192.168.1.135,1,1,3,0
benign.pcap,1769177985.0,192.168.1.1,192.168.1.135,3,3,0,0
benign.pcap,1769177985.0,192.168.1.135,199.232.214.172,1,1,2,0
benign.pcap,1769177985.0,192.168.1.135,23.209.209.135,1,1,2,0
benign.pcap,1769177990.0,162.159.61.5,192.168.1.135,1,1,0,0
benign.pcap,1769177990.0,192.168.1.1,192.168.1.135,2,2,0,0
benign.pcap,1769177990.0,192.168.1.1,224.0.0.187,1,1,0,0
benign.pcap,1769177990.0,192.168.1.135,89.42.231.152,1,1,2,2
benign.pcap,1769178000.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178000.0,142.250.185.131,192.168.1.135,1,1,3,0
benign.pcap,1769178005.0,116.202.233.126,192.168.1.135,1,1,0,0
benign.pcap,1769178010.0,192.168.1.135,52.123.128.14,1,1,2,0
benign.pcap,1769178010.0,192.168.1.135,64.233.162.188,1,1,0,0
benign.pcap,1769178010.0,192.168.1.77,8.8.8.8,1,1,0,3
benign.pcap,1769178020.0,142.250.74.142,192.168.1.135,1,1,0,0
benign.pcap,1769178020.0,162.159.61.5,192.168.1.135,1,1,0,0
benign.pcap,1769178020.0,192.168.1.135,89.42.231.152,1,1,2,0
benign.pcap,1769178025.0,142.250.74.142,192.168.1.135,2,2,2,0
benign.pcap,1769178025.0,192.168.1.135,40.74.98.192,1,1,0,0
benign.pcap,1769178025.0,192.168.1.135,77.88.21.119,1,1,0,0
benign.pcap,1769178030.0,192.168.1.135,45.139.239.54,1,1,0,0
benign.pcap,1769178030.0,192.168.1.135,45.95.201.54,1,1,0,0
benign.pcap,1769178035.0,104.20.45.111,192.168.1.63,1,1,2,1
benign.pcap,1769178035.0,142.250.74.3,192.168.1.63,2,2,2,1
benign.pcap,1769178035.0,142.251.142.234,192.168.1.63,2,2,2,3
benign.pcap,1769178035.0,151.101.67.6,192.168.1.63,2,2,4,0
benign.pcap,1769178035.0,158.160.210.100,192.168.1.63,1,1,2,1
benign.pcap,1769178035.0,162.159.200.123,192.168.1.135,2,2,0,0
