pcap,window_start,src,flows_total,pkts_out,pkts_in,bytes_out,bytes_in,tcp_flows,udp_flows,unique_dst_ports,unique_dst_ips,mean_flow_duration,p95_flow_duration,mean_packets_per_flow,p95_packets_per_flow,syn_count,rst_count,entropy_dst_port,entropy_dst_ip,rst_per_syn,label
benign.pcap,1769177613.0,172.64.41.5,1,1,2,66,132,1,0,1,1,0.024079084396362305,0.024079084396362305,3.0,3.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177613.0,185.26.182.111,1,9,8,6271,2914,1,0,1,1,0.20851898193359375,0.20851898193359375,17.0,17.0,2,0,-0.0,-0.0,0.0,0
benign.pcap,1769177619.0,157.240.205.142,1,0,1,0,54,1,0,1,1,0.0,0.0,1.0,1.0,0,1,-0.0,-0.0,1.0,0
benign.pcap,1769177622.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.996095895767212,8.996095895767212,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177622.0,192.168.1.1,1,220,0,106060,0,0,1,1,1,270.29505014419556,270.29505014419556,220.0,220.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177622.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.025204896926879883,0.025204896926879883,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177622.0,192.168.1.77,2,7,4,1058,2232,2,0,2,2,0.13935351371765137,0.2647716760635376,5.5,9.549999999999999,0,1,1.0,1.0,1.0,0
benign.pcap,1769177628.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.98899793624878,8.98899793624878,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177628.0,192.168.1.1,1,1,1,142,94,0,1,1,1,0.07054805755615234,0.07054805755615234,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177631.0,107.155.51.182,1,3,2,193,120,1,0,1,1,0.2518739700317383,0.2518739700317383,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177631.0,192.168.1.1,1,1,0,59,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177634.0,185.211.245.131,1,11,14,6755,2691,1,0,1,1,2.281891107559204,2.281891107559204,25.0,25.0,2,2,-0.0,-0.0,0.6666666666666666,0
benign.pcap,1769177634.0,192.168.1.1,1,1,1,169,78,0,1,1,1,0.26796793937683105,0.26796793937683105,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177637.0,192.168.1.1,1,1,1,255,74,0,1,1,1,0.06910300254821777,0.06910300254821777,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177637.0,192.168.1.135,2,10,9,2412,2415,2,0,1,2,4.349897980690002,8.202803361415862,9.5,16.25,2,0,-0.0,1.0,0.0,0
benign.pcap,1769177646.0,192.168.1.135,1,2,3,161,241,1,0,1,1,9.000132083892822,9.000132083892822,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177652.0,192.168.1.135,2,3,4,221,319,2,0,2,2,4.512627959251404,8.54042044878006,3.5,4.85,0,0,1.0,1.0,0.0,0
benign.pcap,1769177655.0,192.168.1.130,1,1,0,451,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177658.0,149.154.167.222,4,91,106,44194,20225,4,0,4,1,23.98996603488922,23.991224539279937,49.25,54.0,8,0,2.0,-0.0,0.0,0
benign.pcap,1769177658.0,149.154.167.50,2,59,57,57647,6466,2,0,2,1,23.99114191532135,23.99185119867325,58.0,100.3,4,0,1.0,-0.0,0.0,0
benign.pcap,1769177658.0,185.26.182.111,1,4,5,300,312,1,0,1,1,24.20579504966736,24.20579504966736,9.0,9.0,0,2,-0.0,-0.0,2.0,0
benign.pcap,1769177658.0,192.168.1.63,4,114,98,15025,97141,4,0,1,1,23.971141278743744,23.971926498413087,53.0,55.7,9,0,-0.0,-0.0,0.0,0
benign.pcap,1769177661.0,142.250.74.14,1,13,14,6074,10883,0,1,1,1,0.31511592864990234,0.31511592864990234,27.0,27.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177661.0,151.101.3.6,4,50,41,43565,16437,2,2,4,1,0.21470898389816284,0.3292393922805786,22.75,31.199999999999996,4,9,2.0,-0.0,1.8,0
benign.pcap,1769177661.0,151.101.67.6,1,11,2,12482,2484,0,1,1,1,0.670098066329956,0.670098066329956,13.0,13.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177661.0,17.156.128.11,4,61,57,40848,20314,4,0,4,1,30.863365054130554,30.901454508304596,29.5,30.0,8,8,2.0,-0.0,0.8888888888888888,0
benign.pcap,1769177661.0,17.171.47.23,1,15,16,10107,5573,1,0,1,1,30.660741090774536,30.660741090774536,31.0,31.0,2,2,-0.0,-0.0,0.6666666666666666,0
benign.pcap,1769177661.0,17.253.39.142,1,11,11,8740,2654,1,0,1,1,0.24723005294799805,0.24723005294799805,22.0,22.0,2,0,-0.0,-0.0,0.0,0
benign.pcap,1769177661.0,185.211.245.131,1,23,30,16895,7243,1,0,1,1,22.94740104675293,22.94740104675293,53.0,53.0,2,2,-0.0,-0.0,0.6666666666666666,0
benign.pcap,1769177664.0,192.168.1.63,1,15,13,3594,6178,1,0,1,1,3.140268087387085,3.140268087387085,28.0,28.0,2,3,-0.0,-0.0,1.0,0
benign.pcap,1769177667.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.02459406852722168,0.02459406852722168,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177670.0,17.248.214.12,1,17,17,6020,7409,1,0,1,1,0.37992095947265625,0.37992095947265625,34.0,34.0,2,0,-0.0,-0.0,0.0,0
benign.pcap,1769177673.0,162.159.200.123,1,1,1,90,90,0,1,1,1,0.022958040237426758,0.022958040237426758,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177673.0,192.168.1.1,1,2,2,222,158,0,1,1,1,0.5694129467010498,0.5694129467010498,4.0,4.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177676.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.996784925460815,8.996784925460815,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177676.0,192.168.1.1,2,4,0,344,0,0,2,2,1,4.096078515052795,4.096167886257172,2.0,2.0,0,0,1.0,-0.0,0.0,0
benign.pcap,1769177682.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.989346027374268,8.989346027374268,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177682.0,172.64.41.5,1,10,12,4819,5616,0,1,1,1,0.172929048538208,0.172929048538208,22.0,22.0,0,0,-0.0,-0.0,0.0,0
